215 1734111684 17,146496 0,400000 16,900981 17,392012 117,625047
221 1734111685 17,391910 0,200000 17,391910 17,391910 60,495707
221 1734111686 17,391910 0,200000 17,391910 17,391910 60,495707
209 1734111685 0,276774 0,600000 0,247367 0,292063 0,046222
209 1734111686 0,276774 0,600000 0,247367 0,292063 0,046222
200 1734111685 0,517722 0,400000 0,464821 0,570623 0,108334
200 1734111686 0,517722 0,400000 0,464821 0,570623 0,108334
206 1734111685 0,301506 0,200000 0,301506 0,301506 0,018181
206 1734111686 0,301506 0,200000 0,301506 0,301506 0,018181
218 1734111685 5,005886 0,600000 5,001870 5,013830 15,035359
218 1734111686 5,005886 0,600000 5,001870 5,013830 15,035359
212 1734111685 16,900692 0,200000 16,900692 16,900692 57,126676
212 1734111686 16,900692 0,200000 16,900692 16,900692 57,126676
224 1734111685 0,567898 0,200000 0,567898 0,567898 0,064502
224 1734111686 0,567898 0,200000 0,567898 0,567898 0,064502
215 1734111685 17,146496 0,400000 16,900981 17,392012 117,625047
215 1734111686 17,146496 0,400000 16,900981 17,392012 117,625047
227 1734111687 22,886807 0,200000 22,886807 22,886807 104,761191
209 1734111687 0,269610 0,400000 0,247203 0,292017 0,029277
218 1734111687 5,010222 0,400000 5,007224 5,013221 10,040935
203 1734111687 0,588034 0,200000 0,588034 0,588034 0,069157
224 1734111687 0,730880 0,200000 0,730880 0,730880 0,106837
215 1734111687 22,886927 0,200000 22,886927 22,886927 104,762287
227 1734111688 22,886807 0,200000 22,886807 22,886807 104,761191
209 1734111688 0,269610 0,400000 0,247203 0,292017 0,029277
218 1734111688 5,010222 0,400000 5,007224 5,013221 10,040935
203 1734111688 0,588034 0,200000 0,588034 0,588034 0,069157
224 1734111688 0,730880 0,200000 0,730880 0,730880 0,106837
215 1734111688 22,886927 0,200000 22,886927 22,886927 104,762287
227 1734111689 22,886807 0,200000 22,886807 22,886807 104,761191
209 1734111689 0,269610 0,400000 0,247203 0,292017 0,029277
218 1734111689 5,010222 0,400000 5,007224 5,013221 10,040935
203 1734111689 0,588034 0,200000 0,588034 0,588034 0,069157
224 1734111689 0,730880 0,200000 0,730880 0,730880 0,106837
215 1734111689 22,886927 0,200000 22,886927 22,886927 104,762287
227 1734111690 22,886807 0,200000 22,886807 22,886807 104,761191
209 1734111690 0,269610 0,400000 0,247203 0,292017 0,029277
218 1734111690 5,010222 0,400000 5,007224 5,013221 10,040935
203 1734111690 0,588034 0,200000 0,588034 0,588034 0,069157
224 1734111690 0,730880 0,200000 0,730880 0,730880 0,106837
215 1734111690 22,886927 0,200000 22,886927 22,886927 104,762287
227 1734111691 22,886807 0,200000 22,886807 22,886807 104,761191
209 1734111691 0,269610 0,400000 0,247203 0,292017 0,029277
218 1734111691 5,010222 0,400000 5,007224 5,013221 10,040935
203 1734111691 0,588034 0,200000 0,588034 0,588034 0,069157
224 1734111691 0,730880 0,200000 0,730880 0,730880 0,106837
215 1734111691 22,886927 0,200000 22,886927 22,886927 104,762287
200 1734111692 0,477633 0,200000 0,477633 0,477633 0,045627
200 1734111693 0,477633 0,200000 0,477633 0,477633 0,045627
200 1734111694 0,477633 0,200000 0,477633 0,477633 0,045627
200 1734111695 0,477633 0,200000 0,477633 0,477633 0,045627
200 1734111696 0,477633 0,200000 0,477633 0,477633 0,045627
230 1734111697 26,143514 0,400000 26,105013 26,182016 273,393928
233 1734111697 31,692030 0,400000 31,691711 31,692349 401,753905
209 1734111697 0,268323 0,200000 0,268323 0,268323 0,014399
218 1734111697 5,000913 0,200000 5,000913 5,000913 5,001826
215 1734111697 31,692533 0,400000 31,692073 31,692993 401,766657
230 1734111698 26,143514 0,400000 26,105013 26,182016 273,393928
233 1734111698 31,692030 0,400000 31,691711 31,692349 401,753905
209 1734111698 0,268323 0,200000 0,268323 0,268323 0,014399
218 1734111698 5,000913 0,200000 5,000913 5,000913 5,001826
215 1734111698 31,692533 0,400000 31,692073 31,692993 401,766657
230 1734111699 26,143514 0,400000 26,105013 26,182016 273,393928
233 1734111699 31,692030 0,400000 31,691711 31,692349 401,753905
209 1734111699 0,268323 0,200000 0,268323 0,268323 0,014399
218 1734111699 5,000913 0,200000 5,000913 5,000913 5,001826
215 1734111699 31,692533 0,400000 31,692073 31,692993 401,766657
230 1734111700 26,143514 0,400000 26,105013 26,182016 273,393928
233 1734111700 31,692030 0,400000 31,691711 31,692349 401,753905
209 1734111700 0,268323 0,200000 0,268323 0,268323 0,014399
218 1734111700 5,000913 0,200000 5,000913 5,000913 5,001826
215 1734111700 31,692533 0,400000 31,692073 31,692993 401,766657
230 1734111701 26,143514 0,400000 26,105013 26,182016 273,393928
233 1734111701 31,692030 0,400000 31,691711 31,692349 401,753905
209 1734111701 0,268323 0,200000 0,268323 0,268323 0,014399
218 1734111701 5,000913 0,200000 5,000913 5,000913 5,001826
215 1734111701 31,692533 0,400000 31,692073 31,692993 401,766657
239 1734111702 15,494921 0,400000 15,483566 15,506276 96,037080
179 1734111702 0,483346 0,200000 0,483346 0,483346 0,046725
236 1734111702 38,069674 0,200000 38,069674 38,069674 289,860020
203 1734111702 0,608937 0,200000 0,608937 0,608937 0,074161
224 1734111702 0,463221 0,200000 0,463221 0,463221 0,042915
215 1734111702 38,069773 0,200000 38,069773 38,069773 289,861526
239 1734111703 15,494921 0,400000 15,483566 15,506276 96,037080
179 1734111703 0,483346 0,200000 0,483346 0,483346 0,046725
236 1734111703 38,069674 0,200000 38,069674 38,069674 289,860020
203 1734111703 0,608937 0,200000 0,608937 0,608937 0,074161
224 1734111703 0,463221 0,200000 0,463221 0,463221 0,042915
215 1734111703 38,069773 0,200000 38,069773 38,069773 289,861526
239 1734111704 15,494921 0,400000 15,483566 15,506276 96,037080
179 1734111704 0,483346 0,200000 0,483346 0,483346 0,046725
236 1734111704 38,069674 0,200000 38,069674 38,069674 289,860020
203 1734111704 0,608937 0,200000 0,608937 0,608937 0,074161
224 1734111704 0,463221 0,200000 0,463221 0,463221 0,042915
215 1734111704 38,069773 0,200000 38,069773 38,069773 289,861526
239 1734111705 15,494921 0,400000 15,483566 15,506276 96,037080
